"IntervalID","IntervalStart","IntervalEnd","AvgLatency","CI_Lower","CI_Upper"
1,2024-09-22 03:31:52.945369,2024-09-22 03:35:13.171126,15511.7618968247,15439.5970980471,15604.1106065129
2,2024-09-22 03:35:13.188855,2024-09-22 03:37:34.641503,10807.1696808067,10778.1969979791,10836.236475901
3,2024-09-22 03:37:34.654307,2024-09-22 03:40:37.108028,14071.9819984999,14028.3350170316,14124.4372614189
4,2024-09-22 03:40:37.12251,2024-09-22 03:42:58.463242,10802.6903075256,10769.4121457328,10834.7239893017
5,2024-09-22 03:42:58.476573,2024-09-22 03:43:01.352303,11720.6814159292,11429.7603679924,12028.1943317957
