"IntervalID","IntervalStart","IntervalEnd","AvgLatency","Latency_CI_Lower","Latency_CI_Upper","AvgThroughput","Throughput_CI_Lower","Throughput_CI_Upper"
1,2024-09-22 03:47:40.096852,2024-09-22 03:51:03.024831,15711.7874822902,15645.3425493791,15807.9944870406,65.2997286038754,65.1025126287286,65.4730384843171
2,2024-09-22 03:51:03.041624,2024-09-22 03:53:27.337894,11024.1715142929,10993.5945745479,11054.128883657,93.169594331516,92.9230379754987,93.4393616729329
3,2024-09-22 03:53:27.349558,2024-09-22 03:56:35.664308,14524.2401866822,14484.0737353113,14572.0058546546,69.9609125302317,69.7943953754781,70.1284259247236
4,2024-09-22 03:56:35.680635,2024-09-22 03:59:00.1073,11033.0858404867,11000.4116426369,11062.6753625302,93.0572218762091,92.76512692364,93.3320049187398
5,2024-09-22 03:59:00.116184,2024-09-22 03:59:03.923201,11027.858044164,10738.83170347,11292.8171135647,94.7416299692369,92.6918059514318,96.7688882505614
