"IntervalID","IntervalStart","IntervalEnd","AvgLatency","Latency_CI_Lower","Latency_CI_Upper","AvgThroughput","Throughput_CI_Lower","Throughput_CI_Upper"
1,2024-09-24 08:50:53.912615,2024-09-24 08:54:20.465989,15986.6928910743,15928.5834902909,16053.2353050254,64.2014191639636,64.0199649075201,64.397248121446
2,2024-09-24 08:54:20.484361,2024-09-24 08:56:44.396882,10988.0155846321,10957.666911826,11018.3982311026,93.6604158533649,93.3767542660876,93.9231567245456
3,2024-09-24 08:56:44.40815,2024-09-24 08:59:53.775515,14598.040420035,14546.0802629386,14663.2712663555,69.9008693889051,69.7178058693588,70.0835276667644
4,2024-09-24 08:59:53.791954,2024-09-24 09:02:19.184295,11104.3381115093,11071.9234061172,11135.2629239937,92.7251884418145,92.4395707549098,93.0339463593922
5,2024-09-24 09:02:19.195213,2024-09-24 09:02:24.051399,11275.4481012658,11048.2723417722,11482.8852531646,91.9764273634069,90.2132450585188,93.7494399409254
