"IntervalID","IntervalStart","IntervalEnd","AvgLatency","CI_Lower","CI_Upper"
1,2024-09-24 08:50:53.912615,2024-09-24 08:54:20.465989,15986.6928910743,15929.490542626,16049.8569058286
2,2024-09-24 08:54:20.484361,2024-09-24 08:56:44.396882,10988.0155846321,10953.8439190629,11019.404302049
3,2024-09-24 08:56:44.40815,2024-09-24 08:59:53.775515,14598.040420035,14548.2374788643,14665.5367596611
4,2024-09-24 08:59:53.791954,2024-09-24 09:02:19.184295,11104.3381115093,11070.1053721865,11138.1389649055
5,2024-09-24 09:02:19.195213,2024-09-24 09:02:24.051399,11275.4481012658,11064.8867266928,11501.1595802827
