"IntervalID","IntervalStart","IntervalEnd","AvgLatency","Latency_CI_Lower","Latency_CI_Upper","AvgThroughput","Throughput_CI_Lower","Throughput_CI_Upper"
1,2024-09-19 22:53:40.313081,2024-09-19 22:56:46.839958,14448.2261021752,14385.6778377365,14528.9668139012,70.7901994035319,70.6130148083968,70.9768491559571
2,2024-09-19 22:56:46.854017,2024-09-19 22:58:59.967798,10175.9689140762,10150.2305900492,10202.4236936411,100.41890915235,100.169175946762,100.684562538935
3,2024-09-19 22:58:59.978501,2024-09-19 23:01:52.757612,13326.1061755146,13275.7891782649,13395.3022022669,76.6162038825154,76.4292854638422,76.80717589993
4,2024-09-19 23:01:52.773323,2024-09-19 23:04:08.633014,10391.3802816901,10362.9919451621,10418.9731873489,98.6044973732384,98.3131065349665,98.8728591587711
5,2024-09-19 23:04:08.64187,2024-09-19 23:04:14.876436,10425.3090909091,10278.9977727273,10599.2464545455,98.6963535423454,97.4305927261468,100.008479112636
