"IntervalID","IntervalStart","IntervalEnd","AvgLatency","CI_Lower","CI_Upper"
1,2024-09-22 03:47:40.096852,2024-09-22 03:51:03.024831,15711.7874822902,15646.1671138106,15796.525748826
2,2024-09-22 03:51:03.041624,2024-09-22 03:53:27.337894,11024.1715142929,10991.5421209176,11055.3404948723
3,2024-09-22 03:53:27.349558,2024-09-22 03:56:35.664308,14524.2401866822,14485.5784976575,14569.8706968872
4,2024-09-22 03:56:35.680635,2024-09-22 03:59:00.1073,11033.0858404867,10998.7540763234,11064.4982670016
5,2024-09-22 03:59:00.116184,2024-09-22 03:59:03.923201,11027.858044164,10775.6513491295,11286.0757375602
