"IntervalID","IntervalStart","IntervalEnd","AvgLatency","Latency_CI_Lower","Latency_CI_Upper","AvgThroughput","Throughput_CI_Lower","Throughput_CI_Upper"
1,2024-09-22 03:31:52.945369,2024-09-22 03:35:13.171126,15511.7618968247,15435.5867176431,15605.1681369281,66.5319655483155,66.3134110039047,66.7366466718107
2,2024-09-22 03:35:13.188855,2024-09-22 03:37:34.641503,10807.1696808067,10776.4433161097,10840.2292774398,94.9881172777365,94.7079750852876,95.2700551169817
3,2024-09-22 03:37:34.654307,2024-09-22 03:40:37.108028,14071.9819984999,14027.8483977831,14126.7522668556,72.5120578977364,72.3361626969443,72.7069799836014
4,2024-09-22 03:40:37.12251,2024-09-22 03:42:58.463242,10802.6903075256,10768.7952808567,10835.379504542,95.3498505436199,95.0467307678772,95.6347680750515
5,2024-09-22 03:42:58.476573,2024-09-22 03:43:01.352303,11720.6814159292,11410.7717920354,12024.9993362832,88.7514838894351,86.582580455371,91.0940508010231
