"IntervalID","IntervalStart","IntervalEnd","AvgLatency","CI_Lower","CI_Upper"
1,2024-09-19 22:53:40.313081,2024-09-19 22:56:46.839958,14448.2261021752,14390.4207221639,14529.9908891521
2,2024-09-19 22:56:46.854017,2024-09-19 22:58:59.967798,10175.9689140762,10149.8430134008,10202.7221987959
3,2024-09-19 22:58:59.978501,2024-09-19 23:01:52.757612,13326.1061755146,13274.7267779571,13387.949530301
4,2024-09-19 23:01:52.773323,2024-09-19 23:04:08.633014,10391.3802816901,10362.8237353586,10420.6886516074
5,2024-09-19 23:04:08.64187,2024-09-19 23:04:14.876436,10425.3090909091,10269.1349338723,10579.1177919616
