"IntervalID","IntervalStart","IntervalEnd","AvgLatency","Latency_CI_Lower","Latency_CI_Upper","AvgThroughput","Throughput_CI_Lower","Throughput_CI_Upper"
1,2024-09-18 22:23:49.346479,2024-09-18 22:27:12.06583,15701.8309025752,15643.6160721727,15772.5886136345,65.4723250460361,65.2685774919969,65.6661735332924
2,2024-09-18 22:27:12.084154,2024-09-18 22:29:35.445612,10950.7434786232,10918.8166847237,10984.0793816151,93.9677746556086,93.6705860901848,94.2431226221495
3,2024-09-18 22:29:35.455555,2024-09-18 22:32:41.113593,14313.7675639637,14259.7847070589,14371.5181348446,71.6498361225232,71.4342640637799,71.871070991565
4,2024-09-18 22:32:41.129849,2024-09-18 22:35:07.189425,11165.5977998167,11132.8777648137,11200.4472726894,92.3738576746007,92.0818025120783,92.6337089075177
5,2024-09-18 22:35:07.201639,2024-09-18 22:35:09.080892,11135.608974359,10759.0302884615,11545.0176282051,93.8208127680238,90.9049452325974,96.6340623839406
